User,Location,Text
johamos06,,Estoy totalmente de acuerdo con el #ParoNacional29A pero que entren a robar a las tiendas? Y nadie haga nada ? 😡🤬
eseljeexx,España,"Mrc ya no se trata de si la arepa es de Colombia o de Venezuela, si existe la gran Colombia aún... se trata de que… https://t.co/ehdHN2Ac5V"
BambamSteven_,Puerto Wilches - Pamplona,"El pueblo no mata al pueblo, es increíble lo que está sucediendo en las capitales del país, no podemos seguir en es… https://t.co/Id5N5m91wt"
Davidhern10,"Barcelona, España","Estado paramilitar, estado Genocida. Me duele Colombia por esa cantidad de gobernantes que nos llevaron al abismo y… https://t.co/FGQ7LaZSXG"
edgardoalcendra,Colombia,"Se metieron con la generación que todo lo graba. 💪
#ParoNacional29A 
#SigueElParo 
#SOSColombiaEnDictadura"
EstherJinete,Colombia,@HFCardonaG No puedo creer que alguien que siempre atenta contra el pueblo y el medioambiente sea invitado a este t… https://t.co/Kce3gAcdkv
nicolastorrest6,,"El día de hoy en Colombia es como jugar monopoly sin que te den plata al comienzo

#DuqueChao 
#NosEstanMatando… https://t.co/5RSuWgjHZj"
andreah22735593,Argentina,En Medellín en este momento en el@parque de las luces la policía está amenazando con desaparecer a todos los que se… https://t.co/6o3hmDzSZ0
Alejand72037901,"Bogotá, D.C., Colombia",Me le paro a ese man y le aplaudo. Chico desconocido supremacy🛐 #ParoNacional29A #ParoNacional4M #ParoDestructorSOS… https://t.co/o8hLnpllPM
RugeJaimes,"Bogotá, D.C., Colombia","Voy en bus a soacha y vengo escuchando una conversación entre adultos mayores diciendo:
-""la comida ya se está esca… https://t.co/Ycu1lYoqYq"
lopez_santiago4,Bogotá Colombia,@DanielSamperO Este es el problema de Colombia. Lo que está ocurriendo ahora es la bomba que explotó luego de tanta… https://t.co/rU8TwYheqI
ZamirVasquez1,,Nos están asesinando!! Integrantes del gobierno colombiano causantes de las consecuencias sucedidas; pedimos que se… https://t.co/wpKgv691Pq
Arthurkng3,"Bogotá, D.C., Colombia","están violando todos nuestros derechos, incluso desde antes de las manifestaciones, un pueblo insatisfecho y aún as… https://t.co/lbLl5XCBiK"
Jhon_Andres1,,"La dimensión acústica de la protesta en Istmina estuvo tan pobre y permeada, que a los organizadores de la marcha s… https://t.co/JMUs7A1wit"
Alejand79730240,,"@KimberlyLoaiza_ Pedimos ayuda, nos están matando, la mismísima autoridad nacional. #ONU #PoliciasAsesinos… https://t.co/W7WN9MWcSF"
LelyHerrera1, Panamá,"Ayuda para Colombia 🇨🇴#ONUintervengaColombia 
#ComisionInteramericanadederechoshumanos 
#EuropeanCourtofHumanRights… https://t.co/OB8cU53qmm"
maryjogc,,"¡Siempre tendrán una excusa! ¡SIEMPRE! Consenso sí, pero no así ¡No olvidamos las noches de terror a las que nos ha… https://t.co/O4xfb6HKLx"
TatianaRozo19,,Levantarse y veo los noticieros hablando del clima. ¿De verdad tanta apatía? ¿No les duele lo que está pasando? ¿No… https://t.co/b2Vm2xN7qh
AbiCarvajal,Alicante ,Super orgullosa de mi pueblo que no agacha la cabeza y está al pie del cañón defendiendo sus derechos 🇨🇴❤️ #ParoNacional29A #ColombiaResiste
ToysoloTony,Colombia,O ¿es que alla si no se meten porque les responden con la misma moneda? A bala? #ParoNacional2M #ParoEstudiantil3M… https://t.co/UIr8yrbI6u
10_adrianaaa,,"Soy de Guatemala y entiendo perfectamente la situación que esta viviendo #Colombia en estos momentos, hagamos viral… https://t.co/BmZXl3K9yU"
Violetta_Lopezp,México,"COLOMBIA NO ESTÁS SOLA, TODA LATINOAMÉRICA ESTÁ CONTIGO.

#ColombiaResiste #FuerzaCOLOMBIA #Colombia… https://t.co/r9HMXJdA6U"
LQSomos,#LQSomos,Colombia: narcogobierno matando y masacrando https://t.co/KQTzgqUvG7 #elestadomatoanicolas  #DuqueMandoAMatarnos… https://t.co/wMeOSik1cb
