User,Location,Text,sentiment,probability
IaMysteR,México,"Según el medio #Geekosity, #MarvelStudios le hizo una nueva oferta a John Krasinski y su esposa Emily Blunt, para l… https://t.co/Csqr50gK4E",Positivo,70
Shankusuno,España,¡Filtraciones Marvel! ¡Norman Osborn es el contacto! ¡Mutantes en She-Hulk! https://t.co/Tl1DZAyzmu vía @YouTube… https://t.co/3Mv1xQgWyR,Positivo,67
SMASHem_mx,,¡Por fin sabemos cuándo podremos ver Ant-Man and The Wasp: Quantumania! 🤩🙌🏻 #MarvelStudios https://t.co/r5pHgAa6FD,Positivo,74
pam_podcast,"Distrito Federal, México","Relanzando la fase 4 del #MCU ..... y las series de #WandaVision y #FalconAndTheWinterSoldier que!?
#PAMelpodcast… https://t.co/fKcOuUuNQj",Positivo,65
federico_sykes,Capital Federal,La segunda película del Mundo Marvel (en orden cronológico) “Capitana Marvel” #MarvelStudios #marvel… https://t.co/pocmno8ENc,Positivo,68
PlanetApokolips,,Por fin la respuesta. Aquí con datos reales. Quien es la preferida. Wonder Woman o Capitana Marvel. Sin más rodeos… https://t.co/tnGvOV5aIR,Positivo,64
WipyTV,Mexico,"¿Veremos un anuncio de #MarvelStudios después? 😮

https://t.co/hPJSSulmQs",Positivo,63
jorgemariozj,"Medellín, Colombia","¿Sabes que super héroes son?
#lashistorietasdejorge #jorgemariozapatajaramillo #datoscuriosos #marvelcomics… https://t.co/hkuphvrODc",Positivo,68
p_secta,,#TonyStark #MarvelStudios #Marvel Te extraño 😔 https://t.co/9Rc6SjG0tD,Positivo,64
RockySantanaTo1,,La mejor escena post-credito de #MarvelStudios #Avengers https://t.co/Bb7VbkU6Ro,Positivo,81
EPiscinazo,,"Quedará muy poca gente que no haya visto las películas del #MarvelStudios 🤔

Pues aquí tenéis a dos locos que van a… https://t.co/yEDxsA0nWx",Positivo,63
Maestro_Ciego,Barcelona,"Vamos a repasar en el #MateACiegas de esta semana todo lo relacionado con la fase 4 de #MarvelStudios 

Let's go:… https://t.co/lHrhZOxpjT",Positivo,75
guatemovie,Guatemala,"Según el CEO de #MarvelStudios, #KevinFeige, #DoctorStrange iba a aparecer en la serie #Wandavision. Al final se de… https://t.co/nlrpreeVab",Positivo,66
ElPochocleroOk,Buenos Aires City Region,#AndrewGarfield negó rotundamente su participación en #SpiderManNoWayHome. Sus palabras en el link… https://t.co/4WZyZC5NeV,Positivo,65
MaikStrange,Peru,Captain Marvel 2 cambia de nombre a #TheMarvels 😯 ésto para dar protagonismo a las 3 poderosas heroínas que tendrá… https://t.co/mINUVCEsRO,Positivo,64
MaikStrange,Peru,Captain Marvel 2 cambia de nombre a #TheMarvels 😯 ésto para dar protagonismo a las 3 poderosas heroínas que tendrá… https://t.co/PpiF9V3kyc,Positivo,64
Gianfrancobald,,Veo que están surgiendo de vueltas los Nazis. Ya veo que #MarvelStudios  nos estaba advirtiendo cuando nos mostro c… https://t.co/ruzsI9CIEJ,Positivo,66
Tavo_Kings,,"🔥NOTICIAS de #BlackPanther2 , #RyanReynolds en #MortalKombat , #DarthVader estará en más proyectos de #StarWars , i… https://t.co/CzlazSMlu7",Positivo,68
denisgeek10,"Córdoba, Argentina",Marvel estrena nuevo video para celebrar sus próximos estrenos con fechas de lanzamiento https://t.co/b1B48m2RGQ… https://t.co/RLtb81iUw8,Positivo,77
RexXGeek,Mi Universo GeeK,"#FalconAndTheWinterSoldier la muestra que marvel no hace todo bien, una serie con una antagonista que no da la tall… https://t.co/oaFVWj6aIl",Positivo,68
ElNomqui,,"Primeras imágenes de #Eternals dirigido por la ganadora del #Oscar Chloé Zhao, la cinta de #MarvelStudios estrena e… https://t.co/SugqSSkUUf",Positivo,69
ElNomqui,,Todos los proyectos presentes y futuros que tiene #MarvelStudios hasta el momento. 🤩 https://t.co/vQOl5LOT1G,Positivo,70
culturaocio,,"💥📆 Fecha de estreno de las películas de la Fase 4 de #MarvelStudios  

https://t.co/pRk1HVpP95",Positivo,69
irn2010,CARACAS,"ASI ESTOY DESDE AYER, llorando  por ver a #AngelinaJolie  en el #MCU .
No se quien lo hizo mejor, si ella llegando… https://t.co/po75aH48QB",Positivo,78
vasosdecineyco1,"Tampico, Tamaulipas","Ya queremos ver #Eternals  
Por la trama 😉
#MarvelStudios 
https://t.co/qmfWu6gacZ https://t.co/4vjXSFiBs3",Positivo,68
NacionFlix,,"Marvel continúa con las sorpresas para todos los fanáticos del UCM, Tom Hiddleston protagoniza 'Loki' y aquí el nue… https://t.co/6beaPGH4oP",Positivo,64
biebersmxbts,,"Podrian dejar de recordarmelo por solo 5 MINUTOS??? Jajajajaja

#LokiSerie
#MarvelStudios https://t.co/FQ52wdsZGC",Positivo,62
FrikiPatria,"Móstoles, España","📸📸GENIALES IMAGENES de Eternals|🎞GRAN REACCIÓN al trailer de la FASE 4 de MARVEL STUDIOS
https://t.co/webMyQrxax… https://t.co/yOlX4zeziP",Positivo,78
libretacinefila,"Granada, España","Marvel - Colección de figuras pintadas a mano Nº 7 - Black Panther
Información y fotografías:… https://t.co/JITRWjTuB2",Positivo,68
FrikiPatria,"Móstoles, España","#fase 4 #patriafriki #Marvelstudios

GRAN REACCIÓN al nuevo y sorprendente trailer de MARVEL STUDIOS con GENIALES I… https://t.co/B4j3Hx0rZM",Positivo,86
brakian_99Cubo,,"Si llegara a pasar  no seria malo pero ...

#MarvelStudios #capitanamerica4
#Marvel https://t.co/d3QqEjqiDg",Positivo,50
jonacustodio,"Lima, Peru","Tiemblaaaaaa #MarvelStudios 
😂😂😂

El futuro de DC no sólo es triste... Es prácticamente nulo. https://t.co/sfeOAo4ejh",Positivo,59
Vyral_News_,,"Con épico video #MarvelStudios da un vistazo a la Fase 4  del UCM 😱
https://t.co/w8mqEwT3qk",Positivo,67
